x,f(x)
0.0000,nan
0.0100,nan
0.0200,nan
0.0300,nan
0.0400,nan
0.0500,nan
0.0600,nan
0.0700,nan
0.0800,nan
0.0900,nan
0.1000,nan
0.1100,nan
0.1200,nan
0.1300,nan
0.1400,nan
0.1500,nan
0.1600,nan
0.1700,nan
0.1800,nan
0.1900,nan
0.2000,nan
0.2100,nan
0.2200,nan
0.2300,nan
0.2400,nan
0.2500,nan
0.2600,nan
0.2700,nan
0.2800,nan
0.2900,nan
0.3000,nan
0.3100,nan
0.3200,nan
0.3300,nan
0.3400,nan
0.3500,nan
0.3600,nan
0.3700,nan
0.3800,nan
0.3900,nan
0.4000,nan
0.4100,nan
0.4200,nan
0.4300,nan
0.4400,nan
0.4500,nan
0.4600,nan
0.4700,nan
0.4800,nan
0.4900,nan
0.5000,nan
0.5100,nan
0.5200,nan
0.5300,nan
0.5400,nan
0.5500,nan
0.5600,nan
0.5700,nan
0.5800,nan
0.5900,nan
0.6000,nan
0.6100,nan
0.6200,nan
0.6300,nan
0.6400,nan
0.6500,nan
0.6600,nan
0.6700,nan
0.6800,nan
0.6900,nan
0.7000,nan
0.7100,nan
0.7200,nan
0.7300,nan
0.7400,nan
0.7500,-inf
0.7600,inf
0.7700,-246184520889129769428581360865948729344.0000
0.7800,128478031208308945626995209592211767296.0000
0.7900,-65797931747495942028117402503574716416.0000
0.8000,33060543154554261590032274035750993920.0000
0.8100,-16293566983648314203562862118445252608.0000
0.8200,7874431295666322471328667368954003456.0000
0.8300,-3730799346908247786358369888908607488.0000
0.8400,1732369725708648014798642729587834880.0000
0.8500,-788142904389223235468227954482348032.0000
0.8600,351202519565068441420324029505470464.0000
0.8700,-153233347064060198693824304448012288.0000
0.8800,65439307965562243703326860009013248.0000
0.8900,-27343322482126051020705880069898240.0000
0.9000,11174263288729406480616395009687552.0000
0.9100,-4464354691053963321622389009154048.0000
0.9200,1742915433608010544442341018566656.0000
0.9300,-664606214963430949266115239346176.0000
0.9400,247400614683629230540711989870592.0000
0.9500,-89854214269601537523808536100864.0000
0.9600,31814132972456448258959667625984.0000
0.9700,-10948282470074742034378294034432.0000
0.9800,3573148300559962959299387326464.0000
0.9900,-823481129348075370190315978752.0000
1.0000,-823481129348075370190315978752.0000
